movie_name,release_year
Harold and Maude,1971
Venus,2006
The Quiet American,2002
The Big Lebowski,1998
Beginners,2010
Poison Ivy,1992
Whatever Works,2009
Entrapment,1999
Husbands and Wives,1992
Magnolia,1999
Indiana Jones and the Last Crusade,1989
Mr. Peabody and the Mermaid,1948
First Knight,1995
Something's Gotta Give,2003
Eternal Sunshine of the Spotless Mind,2004
Lost in Translation,2003
Shopgirl,2005
Wild Target,2010
"Fort Apache, The Bronx",1981
Hollywood Ending,2002
The Mother,2003
Daddy Long Legs,1955
Lolita,1997
Mighty Aphrodite,1995
Stone,2010
The Private Lives of Pippa Lee,2009
Third Person,2013
Elegy,2008
Mighty Aphrodite,1995
A View to a Kill,1985
Enemy of the State,1998
For Your Eyes Only,1981
Funny Face,1957
Houseboat,1958
Kindergarten Cop 2,2016
Sabrina,1954
The Quiet American,1958
A Single Man,2009
A View to a Kill,1985
Arbitrage,2012
Bulworth,1998
Mank,2020
Sense and Sensibility,1995
The Departed,2006
The Man Who Wasn't There,2001
A Perfect Murder,1998
A View to a Kill,1985
Beat the Devil,1953
Café Society,2016
Crazy Heart,2009
Gangster Squad,2013
High Noon,1952
Last Tango in Paris,1972
Love in the Afternoon,1957
Magic in the Moonlight,2014
Freeheld,2015
"Six Days, Seven Nights",1998
Tadpole,2002
The Oranges,2012
The Squid and the Whale,2005
You Should Have Left,2020
As Good as It Gets,1997
Behind the Candelabra,2013
Black Mass,2015
Die Another Day,2002
High Society,1956
I Love Trouble,1994
Indecent Proposal,1993
Manhattan,1979
Phantom Thread,2017
The Color of Money,1986
Amelia,2009
Charade,1963
Chloe,2009
Dark Passage,1947
I Married a Witch,1942
Key Largo,1948
Knock Knock,2015
Love Actually,2003
Rumor Has It...,2005
Seabiscuit,2003
Spun,2002
State of the Union,1948
The Big Sleep,1946
The Misfits,1961
To Catch a Thief,1955
To Have and Have Not,1944
Vertigo,1958
World's Greatest Dad,2009
15 Minutes,2001
American Gangster,2007
Beyond the Sea,2004
Cleaner,2007
Dark Shadows,2012
Halloween III: Season of the Witch,1982
In a Lonely Place,1950
Indiana Jones and the Last Crusade,1989
Knock Knock,2015
Live and Let Die,1973
Moonraker,1979
Rio Bravo,1959
Surrogates,2009
The Horse Whisperer,1998
The Wrong Man,1956
A Walk in the Woods,2015
En kongelig affaere,2012
Flight,2012
Hobbs & Shaw,2019
Moonraker,1979
Octopussy,1983
Sabrina,1995
Seeking a Friend for the End of the World,2012
The Details,2011
The Duchess,2008
The First Wives Club,1996
The Man with the Golden Gun,1974
The Rum Diary,2011
Autumn in New York,2000
Dial M for Murder,1954
Focus,2015
Live and Let Die,1973
Live and Let Die,1973
Luci del varietà,1951
The Mummy,2017
The Other Woman,2014
The Prom,2020
The Royal Tenenbaums,2001
Up Close & Personal,1996
A View to a Kill,1985
Blame,2017
Bugsy,1991
Deja Vu,2006
Don Jon,2013
Edge of Tomorrow,2014
For Your Eyes Only,1981
Heat,1995
Husbands and Wives,1992
It's Complicated,2009
Just Go with It,2011
King Arthur,2004
Licence to Kill,1989
Modern Times,1936
My Cousin Vinny,1992
My Fair Lady,1964
Rear Window,1954
Richard III,1995
Teacher's Pet,1958
The Bubble,2022
The Great Dictator,1940
The Royal Tenenbaums,2001
The Verdict,1982
Tomorrow Never Dies,1997
V for Vendetta,2005
American Beauty,1999
Get Smart,2008
Jurassic Park,1993
Killer Joe,2011
L.A. Story,1991
Moonraker,1979
North by Northwest,1959
Notes on a Scandal,2006
Patch Adams,1998
Pushing Tin,1999
Regarding Henry,1991
Singin' in the Rain,1952
The Duchess,2008
The Fifth Element,1997
The Northman,2022
The Only Living Boy in New York,2017
The Spy Who Loved Me,1977
Training Day,2001
Virginia,2010
Water for Elephants,2011
American Pie,1999
An American in Paris,1951
Baby Driver,2017
Birdman,2014
Buffalo '66,1998
Firewall,2006
Gone Girl,2014
Mighty Aphrodite,1995
Mother's Day,2016
Män som hatar kvinnor,2009
Skyfall,2012
Star of Midnight,1935
Street Kings,2008
Suburban Girl,2007
Suicide Squad,2016
The Bridges of Madison County,1995
The Lord of the Rings,2001
The Mothman Prophecies,2002
The Naked Gun,1988
Thunderball,1965
Transcendence,2014
A Single Man,2009
All I See Is You,2017
Always Be My Maybe,2019
Austin Powers in Goldmember,2002
Avengers: Infinity War,2018
Big Eyes,2014
Color of Night,1994
Guess Who's Coming to Dinner,1967
Milk,2008
Octopussy,1983
Once,2007
Pretty Woman,1990
Quantum of Solace,2008
Raising Helen,2004
Random Hearts,1999
Replicas,2018
Runaway Bride,1999
Rushmore,1998
Scarface,1983
Something's Gotta Give,2003
St. Vincent,2014
Tadpole,2002
The Killing of a Chinese Bookie,1976
The Man with the Golden Gun,1974
The Rum Diary,2011
The World Is Not Enough,1999
Tommy Boy,1995
Whatever Works,2009
Yes Man,2008
Zombieland: Double Tap,2019
47 Ronin,2013
An Affair to Remember,1957
Avengers: Age of Ultron,2015
Blade Runner,1982
Closer,2004
Draft Day,2014
Free Guy,2021
GoldenEye,1995
Green Book,2018
Husbands,1970
Joker,2019
Kindergarten Cop,1990
Knock Knock,2015
Laggies,2014
Mr. Right,2015
Oblivion,2013
Raging Bull,1980
Rock of Ages,2012
Secretary,2002
Sleepy Hollow,1999
Spectre,2015
Stepmom,1998
The Cooler,2003
The Girl on the Train,2016
The Girl with the Dragon Tattoo,2011
The Only Living Boy in New York,2017
The Whole Nine Yards,2000
The Wolverine,2013
Tomorrow Never Dies,1997
Trees Lounge,1996
A Thousand Words,2012
American Hustle,2013
Carol,2015
Casablanca,1942
Damage,1992
Elegy,2008
First Knight,1995
Hobbs & Shaw,2019
I Now Pronounce You Chuck and Larry,2007
Love Actually,2003
Love Actually,2003
My Life,1993
Nights in Rodanthe,2008
Now You See Me,2013
Regarding Henry,1991
Remember the Titans,2000
Rock of Ages,2012
Safe Haven,2013
Scoop,2006
Sister Act,1992
The Diary of a Teenage Girl,2015
The Family Stone,2007
The Living Daylights,1987
The Lost City,2022
The Other Boleyn Girl,2008
The Prestige,2006
The Raven,2012
The Sand Pebbles,1966
The Wolf of Wall Street,2013
Troy,2004
Unfaithful,2002
What Lies Beneath,2000
Why Him?,2016
Analyze This,1999
Angel Heart,1987
Casino,1995
Concussion,2015
Eternal Sunshine of the Spotless Mind,2004
Hollywood Ending,2002
Home Again,2017
Liberal Arts,2012
Licence to Kill,1989
Music and Lyrics,2007
Once Upon a Time in Hollywood,2019
Private Parts,1997
Serena,2014
Sex and the City,2008
Silver Linings Playbook,2012
The American,2010
The Gift,2000
The Lover,1992
The Man with the Golden Gun,1974
The Reader,2008
The Whole Truth,2016
Working Girl,1988
8 1/2,1963
A Perfect Murder,1998
Ad Astra,2019
Always Be My Maybe,2019
An Education,2009
Basic Instinct,1992
Because I Said So,2007
Dreamgirls,2006
Dreamgirls,2006
Fifty Shades of Black,2016
French Kiss,1995
From Russia with Love,1963
High Society,1956
Irrational Man,2015
Keeping Up with the Joneses,2016
Licence to Kill,1989
Mission: Impossible III,2006
Pushing Tin,1999
Rumor Has It...,2005
Star Wars,1977
Ted 2,2015
The American President,1995
The Beach,2000
The Crush,1993
The Favourite,2018
The Gift,2000
The Legend of Tarzan,2016
The Living Daylights,1987
The Quiet American,2002
We Bought a Zoo,2011
Widows,2018
3000 Miles to Graceland,2001
A Star Is Born,1954
Aloha,2015
Anna Karenina,2012
Bohemian Rhapsody,2018
Bridge of Spies,2015
Die Another Day,2002
Elf,2003
Emma.,2020
Eternal Sunshine of the Spotless Mind,2004
Feeling Minnesota,1996
For Your Eyes Only,1981
How Stella Got Her Groove Back,1998
John Q.,2002
Joy,2015
Layer Cake,2004
Love Actually,2003
Nine Lives,2016
Palo Alto,2013
Red Notice,2021
Roman Holiday,1953
Schindler's List,1993
Suicide Squad,2016
The Adjustment Bureau,2011
The Devil Wears Prada,2006
The Heartbreak Kid,2007
The Illusionist,2006
The Other Boleyn Girl,2008
The Polka King,2018
The Sixth Sense,1999
The World Is Not Enough,1999
When Harry Met Sally...,1989
Widows,2018
Wonder Boys,2000
X-Men: First Class,2015
Yogi Bear,2010
You Only Live Twice,1967
All About the Benjamins,2002
Allied,2016
Bad Santa,2003
Because I Said So,2007
Beginners,2010
Casino Royale,2006
Delivery Man,2013
Down and Out in Beverly Hills,1986
From Russia with Love,1963
Gone with the Wind,1939
Heat,1995
I Think I Love My Wife,2007
In the Heights,2021
Inferno,2016
Jack and Jill,2011
Jane Eyre,2011
La decima vittima,1965
Last Night,2010
Lo Sceicco Bianco,1952
Malcolm & Marie,2021
Mr. & Mrs. Smith,2005
National Treasure,2004
Natural Born Killers,1994
Stella Dallas,1937
Taken,2008
Ted,2012
The Astronaut's Wife,1999
The Girl on the Train,2016
The Girl on the Train,2016
The Greatest Showman,2017
The Proposal,2009
The Spy Who Dumped Me,2018
The Wrestler,2008
Tootsie,1982
Up in the Air,2009
World War Z,2013
A Good Year,2006
A Star Is Born,2018
Annie Hall,1977
Barfly,1987
Black Panther,2018
Blow,2001
Boogie Nights,1997
Dreamgirls,2006
Emma,1996
From Russia with Love,1963
Henry’s Crime,2010
I Could Never Be Your Woman,2007
Indiana Jones and the Temple of Doom,1984
Larry Crowne,2011
Love Actually,2003
Message in a Bottle,1999
Monster's Ball,2001
Old School,2003
Passengers,2016
Pride & Prejudice,2005
Sabrina,1954
Save the Last Dance,2001
Seven Pounds,2008
Sex and the City,2008
Singin' in the Rain,1952
Skyfall,2012
Smart People,2008
Solo: A Star Wars Story,2018
Stoker,2013
Sweet November,2001
The Big Lebowski,1998
The Decoy Bride,2011
The Devil’s Advocate,1997
The Family Stone,2007
The Fast and the Furious,2001
The Good Girl,2002
The Great Gatsby,2013
The Heartbreak Kid,2007
The Invention of Lying,2009
The Light Between Oceans,2016
The Thomas Crown Affair,1968
The Wolf of Wall Street,2013
Thunderball,1965
Tomorrow Never Dies,1997
Trainwreck,2015
While You Were Sleeping,1995
Wimbledon,2004
Win a Date with Tad Hamilton!,2004
Year One,2009
You Only Live Twice,1967
Zombieland: Double Tap,2019
27 Dresses,2008
Ant-Man,2015
Bedtime Stories,2008
Big Daddy,1999
Braveheart,1995
Daddy's Home,2015
Death to Smoochy,2002
Diamonds Are Forever,1971
Django Unchained,2012
EDtv,1999
Ever After,1998
Forrest Gump,1994
Ghost,1990
Ghost Rider,2007
Girl with a Pearl Earring,2003
High School High,1996
How to Lose a Guy in 10 Days,2003
Husbands and Wives,1992
Little Black Book,2004
Made of Honor,2008
Man of Steel,2013
Nightmare Alley,2021
Prima della rivoluzione,1964
Pulp Fiction,1994
Rebecca,1940
Return to Me,2000
Smokey and the Bandit,1977
Snowden,2016
Spanglish,2004
Stranger Than Fiction,2006
Sweet Home Alabama,2002
Thank You for Smoking,2006
The Aviator,2004
The Best Little Whorehouse in Texas,1982
The Cable Guy,1996
The Gift,2000
The Mask,1994
The Next Three Days,2010
The Normal Heart,2014
The Nutty Professor,1996
The Prestige,2006
The Time Traveler's Wife,2009
Water for Elephants,2011
Wedding Crashers,2005
What's Eating Gilbert Grape,1993
42,2013
50 First Dates,2004
A History of Violence,2005
A Star Is Born,1937
Accepted,2006
Amelie,2001
Body of Lies,2008
Boogie Nights,1997
Bridget Jones's Baby,2016
Bridget Jones's Diary,2001
Bridget Jones's Diary,2001
Bull Durham,1988
Call Me by Your Name,2017
Closer,2004
Crank,2006
Crazy Rich Asians,2018
Don't Mess with the Zohan,2008
Everything Everywhere All at Once,2022
He's Just Not That Into You,2009
Heartbreakers,2001
Heat,1995
I Love You Phillip Morris,2009
It's Complicated,2009
Just Like Heaven,2005
Last Night,2010
Love Stinks,1999
Man of Steel,2013
Mona Lisa Smile,2003
My Best Friend's Wedding,1997
Pusher,1996
Pushing Tin,1999
RED,2010
Raiders of the Lost Ark,1981
Seven,1995
Something's Gotta Give,2003
Talladega Nights: The Ballad of Ricky Bobby,2006
The Count of Monte Cristo,2002
The Fabulous Baker Boys,1989
The Girl on the Train,2016
The Good Shepherd,2006
The Great Gatsby,1974
The Greatest Showman,2017
The Happening,2008
The Mask of Zorro,1998
The Other Woman,2014
The Wedding Singer,1998
Tomorrow Never Dies,1997
Walk Hard,2007
Wild Things,1998
X-Men,2000
X-Men Origins: Wolverine,2009
Y tu mamá también,2001
A Happening of Monumental Proportions,2017
A Very Long Engagement,2004
Alex & Emma,2003
Always Be My Maybe,2019
American Hustle,2013
Batman Forever,1995
Blue Is The Warmest Color,2013
Chloe,2009
"Crazy, Stupid, Love",2011
Crimson Peak,2015
Daddy's Home,2015
Dan in Real Life,2007
Deepwater Horizon,2016
Dirty Dancing,1987
Edward Scissorhands,1990
Enchanted,2007
Fantastic Beasts and Where to Find Them,2016
Feeling Minnesota,1996
From Here to Eternity,1953
Girl with a Pearl Earring,2003
Groundhog Day,1993
"I, Tonya",2017
Killing Zoe,1994
Leatherheads,2008
Love Actually,2003
Love Stinks,1999
Magic Mike,2012
Manhattan,1979
Meet Joe Black,1998
Mo' Better Blues,1990
National Lampoon's Vacation,1983
Out of Sight,1998
P.S. I Love You,2007
Pirates of the Caribbean,2003
Prime,2005
Professor Marston and the Wonder Women,2017
Proof of Life,2000
Red Planet,2000
Snow Dogs,2002
Solaris,2002
Sorry to Bother You,2018
That Thing You Do!,1996
The African Queen,1951
The Bodyguard,1992
The Constant Gardener,2005
The Count of Monte Cristo,2002
The Dark Knight Rises,2012
The Incredible Hulk,2008
The Invention of Lying,2009
The Judge,2014
The Prestige,2006
The Secret Life of Walter Mitty,2013
The Water Boy,1998
The World Is Not Enough,1999
Third Person,2013
Tommy Boy,1995
Top Gun: Maverick,2022
Y tu mamá también,2001
You Only Live Twice,1967
A Walk on the Moon,1999
Aquaman,2018
Aquaman,2018
Austin Powers: The Spy Who Shagged Me,1999
Away We Go,2009
Barbershop,2002
Billy Madison,1995
Black Panther,2018
Bruce Almighty,2003
Café Society,2016
Captain Blood,1935
Cast Away,2000
Cat on a Hot Tin Roof,1958
Click,2006
Clueless,1995
Clueless,1995
Con Air,1997
Contact,1997
"Crouching Tiger, Hidden Dragon",2000
Delicatessen,1991
Destination Wedding,2018
Die Hard,1988
Divergent,2014
Ex Machina,2014
Fifty Shades Darker,2017
Fifty Shades of Grey,2015
For Love of the Game,1999
Forget Paris,1995
Goldfinger,1964
Gone Girl,2014
Guess Who's Coming to Dinner,1967
Home Again,2017
Honey,2003
"I Love You, Man",2009
Il Bidone,1954
In the Heights,2021
Iron Man,2008
Jerry Maguire,2006
John Wick,2014
Kate & Leopold,2001
Keeping Up with the Joneses,2016
Laws of Attraction,2004
Long Shot,2019
Lord of War,2005
Love Actually,2003
Lucky You,2007
Maid in Manhattan,2002
Mamma Mia!,2008
"Me, Myself & Irene",2000
Mrs. Doubtfire,1993
Never Been Kissed,1999
Notting Hill,1999
Old School,2003
Remember the Titans,2000
Road House,1989
Serendipity,2001
Spider-Man,2002
State of the Union,1948
Talladega Nights: The Ballad of Ricky Bobby,2006
That Thing You Do!,1996
The Book of Love,2017
The Duchess,2008
The Fast and the Furious,2001
The Hustler,1961
The Kids Are All Right,2010
The Promise,2016
The Sting,1973
There's Something About Mary,1998
Thunderball,1965
What Women Want,2000
Wild Things,1998
A Beautiful Mind,2001
A Star Is Born,1975
A Walk to Remember,2002
American Sniper,2014
An Officer and a Gentleman,1982
Atonement,2007
Bridesmaids,2011
Chasing Liberty,2004
Chef,2014
Desperado,1995
Down to Earth,2001
Dr. No,1962
Empire,2002
Four Christmases,2008
Funny People,2009
Garden State,2004
Hitch,2005
In Good Company,2004
L'Avventura,1960
La Strada,1954
Legally Blonde,2001
Meet Bill,2007
Meet Bill,2007
Nightmare Alley,2021
On Her Majesty's Secret Service,1969
Prince of Persia: The Sands of Time,2010
Raising Arizona,1987
Savages,2007
Schindler's List,1993
Shutter Island,2010
Slumdog Millionaire,2008
Sound of Music,1965
Spider-Man: Homecoming,2017
Stone,2010
Summer Catch,2001
The Age of Adaline,2015
The Curious Case of Benjamin Button,2008
The Devil Wears Prada,2006
The Family Stone,2007
The Godfather,1972
The Godfather,1972
The Graduate,1967
The Holiday,2006
The Hollars,2016
The King's Speech,2010
The Replacements,2000
The Way We Were,1973
W.,2008
Wedding Crashers,2005
Zoolander,2001
13 Going on 30,2004
27 Dresses,2008
A View to a Kill,1985
About Time,2013
Adrift,2018
All About the Benjamins,2002
American Pie,1999
American Pie,1999
Anna Karenina,2012
Armageddon,1998
Baby Driver,2017
Blue Crush,2002
Captain America: Civil War,2016
Chips,2017
Cinderella Man,2005
Closer,2004
Cold Mountain,2003
Crazy Rich Asians,2018
Days of Thunder,1990
Dear John,2010
Ed Wood,1994
Elizabethtown,2005
Evan Almighty,2007
Ex Machina,2014
Forgetting Sarah Marshall,2008
Goldfinger,1964
He's Just Not That Into You,2009
Head over Heels,2001
Heartbreakers,2001
Here on Earth,2000
Jersey Girl,2004
King Kong,2005
L.A. Story,1991
Laggies,2014
Le Mans,1971
Legally Blonde,2001
Les Miserables,2012
Magnolia,1999
Mona Lisa Smile,2003
Monster,2003
Mr. Deeds,2002
Mrs. Doubtfire,1993
On Her Majesty's Secret Service,1969
P.S. I Love You,2007
Pearl Harbor,2001
Professor Marston and the Wonder Women,2017
Push,2009
Queen of the Damned,2002
Romeo + Juliet,1996
Sleepless in Seattle,1993
Sweet Home Alabama,2002
Tag,2018
The Amazing Spider-Man,2012
The Aviator,2004
The Big Sick,2017
The Decoy Bride,2011
The Dictator,2012
The Good Shepherd,2006
The Notebook,2004
The Royal Tenenbaums,2001
The Whole Nine Yards,2000
The Whole Truth,2016
The Wood,1999
Third Person,2013
Top Gun,1986
What's Your Number?,2011
When a Man Loves a Woman,1994
Win a Date with Tad Hamilton!,2004
Wonder Woman,2017
Zombieland,2009
Zombieland: Double Tap,2019
300,2007
50/50,2011
A Walk in the Clouds,1995
A Walk in the Clouds,1995
All About the Benjamins,2002
All the Pretty Horses,2000
Along Came Polly,2004
American Beauty,1999
Anchorman: The Legend of Ron Burgundy,2004
Avengers: Age of Ultron,2015
Batman Begins,2005
Boogie Nights,1997
Boogie Nights,1997
Broken Hill,2009
Brooklyn,2015
Café Society,2016
Chasing Amy,1997
Chicago,2002
Chinatown,1974
Crimson Peak,2015
Dr. No,1962
First Man,2018
Funny People,2009
Grosse Pointe Blank,1997
Happy Gilmore,1996
Here on Earth,2000
Hidden Figures,2016
I Think I Love My Wife,2007
In Time,2011
It's Complicated,2009
Juno,2007
Knocked Up,2007
La Dolce Vita,1960
Leap Year,2010
Mamma Mia!,2008
Meet the Parents,2000
Midsommar,2019
Moulin Rouge!,2001
My Best Friend's Wedding,1997
Peter Rabbit,2018
Reservation Road,2007
Sex and the City,2008
Siberia,2018
Soul Food,1997
Soul Food,1997
Source Code,2011
Spectre,2015
The Artist,2011
The Bourne Identity,2002
The Favourite,2018
The Favourite,2018
The Good Girl,2002
The Hudsucker Proxy,1994
The Italian Job,2003
The Princess Bride,1987
The Rock,1996
The Scarlet Letter,1995
The Spanish Prisoner,1997
This Means War,2012
Twilight,2008
Two Weeks Notice,2002
Walk the Line,2005
Wayne's World,1993
We Are Your Friends,2015
Whatever Works,2009
X-Men,2000
A Woman Under the Influence,1974
Amelia,2009
American Beauty,1999
Arbitrage,2012
Becoming Jane,2007
Bottle Rocket,1996
Bridget Jones's Baby,2016
Cinderella,2015
City of Angels,1998
Closer,2004
Coyote Ugly,2000
"Crouching Tiger, Hidden Dragon",2000
Deadpool,2016
Don Jon,2013
Enemy of the State,1998
Fight Club,1999
Fight Club,1999
Fools Rush In,1997
Forgetting Sarah Marshall,2008
Gigli,2003
Hacksaw Ridge,2016
He's Just Not That Into You,2009
His Girl Friday,1940
I Know What You Did Last Summer,1997
I Know What You Did Last Summer,1997
Idle Hands,1999
Imagine Me & You,2005
Independence Day: Resurgence,2016
Inferno,2016
Inventing the Abbotts,1997
Invincible,2006
Juno,2007
Just Go with It,2011
Knocked Up,2007
La ragazza con la valigia,1961
Les Miserables,2012
Liar Liar,1997
Look Who's Talking,1989
Made of Honor,2008
Me Before You,2016
Mickey Blue Eyes,1999
Mirror Mirror,2012
Mona Lisa Smile,2003
Neighbors,2014
On the Basis of Sex,2018
One Fine Day,1996
Palo Alto,2013
Pete's Dragon,2016
Professor Marston and the Wonder Women,2017
Pushing Tin,1999
Ready Player One,2018
Risky Business,1983
Robin Hood: Prince of Thieves,1991
Savages,2007
Selma,2014
She's All That,1999
"Six Days, Seven Nights",1998
Solo: A Star Wars Story,2018
Soul Food,1997
Tag,2018
The 40-Year Old Virgin,2005
The Age of Adaline,2015
The Beach,2000
The Best of me,2014
The Dark Knight,2008
The Departed,2006
The Disaster Artist,2017
The Fault in Our Stars,2014
The Favourite,2018
The Five-Year Engagement,2012
The Graduate,1967
The Lucky One,2012
The Matrix,1999
The Only Living Boy in New York,2017
The Spy Who Dumped Me,2018
The Story of Us,1999
The Vow,2012
Trainwreck,2015
Twilight,2008
Twilight,2008
Us,2019
Wedding Crashers,2005
White Men Can't Jump,1992
Widows,2018
X2: X-Men United,2003
10 Things I Hate About You,1999
A Most Violent Year,2014
A Simple Favor,2018
A Walk on the Moon,1999
Ace Ventura: Pet Detective,1994
Aladdin,2019
And So It Goes,2014
Anger Management,2003
Annihilation,2018
Austin Powers: International Man of Mystery,1997
Ben-Hur,2016
Big Daddy,1999
Bridesmaids,2011
Brokeback Mountain,2005
Casanova,2005
"Crazy, Stupid, Love",2011
"Crazy, Stupid, Love",2011
Dan in Real Life,2007
Dave,1993
Doctor Strange,2016
Down and Out in Beverly Hills,1986
EDtv,1999
Easy A,2010
Ed Wood,1994
Enchanted,2007
Enemy at the Gates,2001
Fantastic Beasts and Where to Find Them,2016
Fifty Shades of Grey,2015
Four Weddings and a Funeral,1994
Friends with Benefits,2011
Gangs of New York,2002
I Don't Know How She Does It,2011
Imagine Me & You,2005
Inventing the Abbotts,1997
Jeux d'enfants,2003
Jurassic World,2015
Last Holiday,2006
Last Night,2010
Le notti di Cabiria,1957
Legally Blonde,2001
Little Nicky,2000
Love & Basketball,2000
Love & Other Drugs,2010
Love Story,1970
Mona Lisa Smile,2003
Office Space,1999
Old School,2003
Pitch Perfect,2012
Robin Hood,2018
Rumor Has It...,2005
Safe Men,1998
Sex and the City,2008
Shakespeare in Love,1998
Sister Act,1992
Something New,2006
Spider-Man: Far From Home,2019
Tag,2018
Tag,2018
The Beach,2000
The Butterfly Effect,2004
The English Patient,1996
The Family Stone,2007
The Family Stone,2007
The Girl with the Dragon Tattoo,2011
The Good Shepherd,2006
The Hunger Games: Mockingjay Part 2,2015
The Kids Are All Right,2010
The Last Time I Committed Suicide,1997
The Mummy,1999
The Notebook,2004
The Other Woman,2014
The Other Woman,2014
The Private Lives of Pippa Lee,2009
The Twilight Saga: New Moon,2009
The Vow,2012
The Wood,1999
The Young Victoria,2009
Thor,2011
Tristan + Isolde,2006
Twilight,2008
Unforgettable,2017
Virginia,2010
Walk the Line,2005
We Were Soldiers,2002
Why Him?,2016
500 Days of Summer,2009
9 1/2 Weeks,1986
A Knight's Tale,2001
Angel Eyes,2001
Australia,2008
Baywatch,2017
Because I Said So,2007
Before Sunrise,1995
Beverly Hills Ninja,1997
Breakfast at Tiffany's,1961
Breathe,2017
Brokeback Mountain,2005
Brokeback Mountain,2005
Captain America: The First Avenger,2011
Chocolat,2000
Cocktail,1988
Dodgeball,2004
Dr. No,1962
Fever Pitch,2005
French Kiss,1995
Friday,1995
Get Out,2017
Guardians of the Galaxy,2014
Hardball,2001
He's Just Not That Into You,2009
Hustle & Flow,2005
In the Heights,2021
Inception,2010
Indecent Proposal,1993
Juno,2007
Jury Duty,1995
Lady Bird,2017
Layer Cake,2004
Leap Year,2010
Marriage Story,2019
Miss Congeniality,2000
Monster Trucks,2017
Mother's Day,2016
My Big Fat Greek Wedding,2002
On Her Majesty's Secret Service,1969
Pearl Harbor,2001
Pride & Prejudice,2005
Punch-Drunk Love,2002
Requiem for a Dream,2000
Ride Along,2014
Rumble Fish,1983
Sense and Sensibility,1995
Shopgirl,2005
Skyscraper,2018
Slackers,2002
Star Trek,2009
Stella Dallas,1937
Stomp the Yard,2007
Tadpole,2002
The Aviator,2004
The Break-Up,2006
The Departed,2006
The Details,2011
The Family Stone,2007
The Last of the Mohicans,1992
The Martian,2015
The Painted Veil,2006
The Sum of All Fears,2002
The Theory of Everything,2014
The Thomas Crown Affair,1999
This Means War,2012
Titanic,1997
Tommy Boy,1995
Transformers: Dark of the Moon,2011
Troy,2004
Unfaithful,2002
Unforgettable,2017
Wild Mountain Thyme,2020
Wonder,2017
X-Men: First Class,2015
Year One,2009
Yesterday,2019
10 Things I Hate About You,1999
A Happening of Monumental Proportions,2017
A Simple Favor,2018
American Hustle,2013
American Pie,1999
Blue Valentine,2010
Catch Me If You Can,2002
Chicago,2002
Daddy's Little Girls,2007
Empire,2002
Good Will Hunting,1997
He's Just Not That Into You,2009
Killing Me Softly,2002
Magic Mike,2012
Me Before You,2016
Mona Lisa Smile,2003
Red Riding Hood,2011
She's Out of My League,2010
Slackers,2002
Soul Food,1997
Spanglish,2004
Speed,1994
Spider-Man: Far From Home,2019
The Crush,1993
The Holiday,2006
The Hunger Games: Catching Fire,2013
The Lake House,2006
Tolkien,2019
Transformers,2007
X-Men: First Class,2015
